SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",2563,1271,82,1353,10387,2448,12835,15946
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,791,537,55,591,8318,1292,9610,10657
20222023,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,67,,,,,,,
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,597,963,63,1026,7864,909,8773,11671
20222023,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,553,1216,45,1261,8271,854,9125,9420
20222023,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,555,1638,93,1731,10704,904,11608,12120
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",3020,1104,1015,2118,8990,2101,11090,15196
20222023,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,892,1075,1074,2150,10615,2895,13510,15542
20222023,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,452,1811,958,2769,10172,2724,12896,14747
20222023,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,842,996,1083,2079,11358,4054,15412,17454
20222023,002,ALLEN,005,Allen County,025,Patriot Academy,005025,002005025,"",GRREC,902,A5,150,,,,,,,
20222023,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,684,979,931,1910,9071,2756,11826,13808
