school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
SPARKSVILLE ELEMENTARY SCHOOL,ADAIR COUNTY,2005,2006,146,elementary,COLUMBIA,21001,7,False,
MILLERSBURG ELEMENTARY SCHOOL,BOURBON COUNTY,2005,2006,119,elementary,MILLERSBURG,21017,8,True,
GARRETT ELEMENTARY SCHOOL,CASEY COUNTY,2005,2006,146,elementary,BETHELRIDGE,21045,7,True,
MIDDLEBURG ELEMENTARY SCHOOL,CASEY COUNTY,2005,2006,319,elementary,MIDDLEBURG,21045,7,True,
ATHENS ELEMENTARY SCHOOL,FAYETTE COUNTY,2005,2006,365,elementary,LEXINGTON,21067,8,False,
FULTON COUNTY ELEMENTARY SCHOOL,FULTON COUNTY,2005,2006,269,elementary,HICKMAN,21075,7,False,
EVAN HARLOW ELEMENTARY SCHOOL,HARRODSBURG INDEPENDENT,2005,2006,409,elementary,HARRODSBURG,21167,6,False,
HARRODSBURG MIDDLE SCHOOL,HARRODSBURG INDEPENDENT,2005,2006,207,middle,HARRODSBURG,21167,6,False,
HARRODSBURG HIGH SCHOOL,HARRODSBURG INDEPENDENT,2005,2006,239,high,HARRODSBURG,21167,6,False,
BUFFALO ELEMENTARY SCHOOL,LARUE COUNTY,2005,2006,217,elementary,BUFFALO,21123,8,True,
MAGNOLIA ELEMENTARY SCHOOL,LARUE COUNTY,2005,2006,195,elementary,MAGNOLIA,21123,8,False,
LOUISA ELEMENTARY SCHOOL,LAWRENCE COUNTY,2005,2006,726,elementary,LOUISA,21127,7,False,
KINGS MOUNTAIN ELEMENTARY SCHOOL,LINCOLN COUNTY,2005,2006,142,elementary,WAYNESBURG,21137,7,False,
MERCER COUNTY HIGH SCHOOL,MERCER COUNTY,2005,2006,717,high,HARRODSBURG,21167,7,False,
BROADWAY ELEMENTARY SCHOOL,PROVIDENCE INDEPENDENT,2005,2006,267,elementary,PROVIDENCE,21233,8,False,
DOUGLAS ELEMENTARY SCHOOL,CASEY COUNTY,2006,2007,176,elementary,LIBERTY,21045,43,False,
PHELPS ELEMENTARY SCHOOL,CASEY COUNTY,2006,2007,121,elementary,WINDSOR,21045,43,True,
PHILLIPS ELEMENTARY SCHOOL,CASEY COUNTY,2006,2007,172,elementary,LIBERTY,21045,43,False,
HORSE CREEK ELEMENTARY SCHOOL,CLAY COUNTY,2006,2007,217,elementary,MANCHESTER,21051,41,False,
CORBIN EAST SCHOOL,CORBIN INDEPENDENT,2006,2007,8,high,CORBIN,21121,33,False,
DAWSON SPRINGS HIGH SCHOOL,DAWSON SPRINGS INDEPENDENT,2006,2007,181,high,DAWSON SPRINGS,21107,33,False,
DAWSON SPRINGS MIDDLE SCHOOL,DAWSON SPRINGS INDEPENDENT,2006,2007,218,middle,DAWSON SPRINGS,21107,33,False,
CHARLES CLARK ELEMENTARY SCHOOL,FLOYD COUNTY,2006,2007,183,elementary,PRESTONSBURG,21071,41,False,
CARR ELEMENTARY SCHOOL,FULTON INDEPENDENT,2006,2007,226,elementary,FULTON,21075,33,False,
FULTON CITY HIGH SCHOOL,FULTON INDEPENDENT,2006,2007,205,high,FULTON,21075,33,False,
BIG CREEK ELEMENTARY SCHOOL,LESLIE COUNTY,2006,2007,80,elementary,BEAR BRANCH,21131,43,True,
KINGDOM COME SETTLEMENT ELEM SCHOOL,LETCHER COUNTY,2006,2007,67,elementary,LINEFORK,21133,41,True,
HARRODSBURG MIDDLE SCHOOL,MERCER COUNTY,2006,2007,193,middle,HARRODSBURG,21167,32,False,
CANNEL CITY ELEMENTARY SCHOOL,MORGAN COUNTY,2006,2007,106,elementary,CANNEL CITY,21175,42,True,
WRIGLEY ELEMENTARY SCHOOL,MORGAN COUNTY,2006,2007,136,elementary,WEST LIBERTY,21175,43,False,
COOPER WHITESIDE ELEMENTARY SCHOOL,PADUCAH INDEPENDENT,2006,2007,208,elementary,PADUCAH,21145,33,False,
CARE ACADEMY INC.,WASHINGTON COUNTY,2006,2007,48,high,WILLISBURG,21229,43,False,
A J LLOYD MIDDLE SCHOOL,WAYNE COUNTY,2006,2007,381,middle,MONTICELLO,21231,33,False,
NEVISDALE ELEMENTARY SCHOOL,WHITLEY COUNTY,2006,2007,100,elementary,NEVISDALE,21235,42,True,
POPLAR CREEK ELEMENTARY SCHOOL,WHITLEY COUNTY,2006,2007,142,elementary,SILER,21235,43,False,
CENTRAL PRIMARY SCHOOL,CORBIN INDEPENDENT,2007,2008,613,elementary,CORBIN,21235,33,False,
SOUTH ELEMENTARY SCHOOL,CORBIN INDEPENDENT,2007,2008,549,elementary,CORBIN,21235,33,False,
UTICA ELEMENTARY SCHOOL,DAVIESS COUNTY,2007,2008,251,elementary,UTICA,21059,42,False,
LINLEE ELEMENTARY SCHOOL,FAYETTE COUNTY,2007,2008,513,elementary,LEXINGTON,21067,41,False,
CUMBERLAND HIGH SCHOOL,HARLAN COUNTY,2007,2008,310,high,CUMBERLAND,21095,32,False,
EVARTS HIGH SCHOOL,HARLAN COUNTY,2007,2008,332,high,EVARTS,21095,41,False,
JAMES A CAWOOD HIGH SCHOOL,HARLAN COUNTY,2007,2008,668,high,HARLAN,21095,32,False,
JENKINS ELEMENTARY SCHOOL,JENKINS INDEPENDENT,2007,2008,304,elementary,BURDINE,21133,43,True,
CORDIA HIGH SCHOOL,KNOTT COUNTY,2007,2008,115,high,HAZARD,21193,41,False,
ARTEMUS ELEMENTARY SCHOOL,KNOX COUNTY,2007,2008,108,elementary,ARTEMUS,21121,41,True,
BOONE ELEMENTARY SCHOOL,KNOX COUNTY,2007,2008,262,elementary,BARBOURVILLE,21121,41,False,
JOHN T ARNETT ELEMENTARY SCHOOL,MAGOFFIN COUNTY,2007,2008,69,elementary,GUNLOCK,21153,43,True,
MIDDLE FORK ELEMENTARY SCHOOL,MAGOFFIN COUNTY,2007,2008,171,elementary,SALYERSVILLE,21153,43,False,
MILLARD HENSLEY ELEMENTARY SCHOOL,MAGOFFIN COUNTY,2007,2008,193,elementary,SALYERSVILLE,21153,43,False,
PRATER BORDERS ELEMENTARY SCHOOL,MAGOFFIN COUNTY,2007,2008,118,elementary,SALYERSVILLE,21153,42,False,
SALYER ELEMENTARY SCHOOL,MAGOFFIN COUNTY,2007,2008,205,elementary,SALYERSVILLE,21153,43,False,
RUSSELLVILLE MIDDLE SCHOOL,RUSSELLVILLE INDEPENDENT,2007,2008,125,middle,RUSSELLVILLE,21141,32,False,
BETHEL ELEMENTARY SCHOOL,BATH CO,2008,2009,130,elementary,SHARPSBURG,21011,43,True,
SALT LICK ELEMENTARY SCHOOL,BATH CO,2008,2009,180,elementary,SALT LICK,21011,42,True,
GREENSBURG ELEMENTARY SCHOOL,GREEN COUNTY,2008,2009,503,elementary,GREENSBURG,21087,42,False,
PIERCE ELEMENTARY SCHOOL,GREEN COUNTY,2008,2009,106,elementary,GREENSBURG,21087,43,False,
SUMMERSVILLE ELEMENTARY SCHOOL,GREEN COUNTY,2008,2009,161,elementary,SUMMERSVILLE,21087,43,True,
MENIFEE COUNTY MIDDLE SCHOOL,MENIFEE COUNTY,2008,2009,259,middle,FRENCHBURG,21165,43,False,
MUHLENBERG NORTH HIGH SCHOOL,MUHLENBERG COUNTY,2008,2009,767,high,GREENVILLE,21177,41,False,
MUHLENBERG SOUTH HIGH SCHOOL,MUHLENBERG COUNTY,2008,2009,659,high,GREENVILLE,21177,41,False,
LOST CREEK ELEMENTARY SCHOOL,PERRY COUNTY,2008,2009,101,elementary,DICE,21193,42,True,
MILLARD MIDDLE SCHOOL,PIKE COUNTY,2008,2009,487,middle,PIKEVILLE,21195,42,False,
FREDERICKTOWN ELEMENTARY SCHOOL,WASHINGTON COUNTY,2008,2009,75,elementary,SPRINGFIELD,21179,42,False,
WEST KNOX COUNTY ELEMENTARY SCHOOL,KNOX COUNTY,2009,2010,637,elementary,CORBIN,21121,33,False,
EVAN HARLOW ELEMENTARY SCHOOL,MERCER COUNTY,2009,2010,720,elementary,HARRODSBURG,21167,32,False,
GEORGE F JOHNSON ELEMENTARY SCHOOL,PIKE COUNTY,2009,2010,385,elementary,VIRGIE,21195,42,False,
ROBINSON CREEK ELEMENTARY SCHOOL,PIKE COUNTY,2009,2010,219,elementary,ROBINSON CREEK,21195,42,True,
VIRGIE MIDDLE SCHOOL,PIKE COUNTY,2009,2010,267,middle,VIRGIE,21195,42,False,
DEMING HIGH SCHOOL,ROBERTSON COUNTY,2009,2010,176,high,MOUNT OLIVET,21201,43,False,
RUNYON ELEMENTARY SCHOOL,PIKE COUNTY,2010,2011,161,elementary,PINSONFORK,21195,42,True,
BEACON ACADEMY,WARREN COUNTY,2010,2011,11,high,BOWLING GREEN,21227,41,False,
HENDERSON COUNTY ACADEMY,HENDERSON COUNTY,2011,2012,43,high,HENDERSON,21101,41,False,
BECKHAM BATES ELEMENTARY SCHOOL,LETCHER COUNTY,2011,2012,225,elementary,WHITESBURG,21133,43,False,
BATTLETOWN ELEMENTARY SCHOOL,MEADE COUNTY,2011,2012,83,elementary,BATTLETOWN,21163,42,True,
METCALFE 6TH GRADE CENTER,METCALFE COUNTY,2011,2012,125,middle,EDMONTON,21169,43,False,
TURNER INTERMEDIATE SCHOOL,WAYNE COUNTY,2011,2012,368,middle,MONTICELLO,21231,41,False,
SLAUGHTERS ELEMENTARY SCHOOL,WEBSTER COUNTY,2011,2012,172,elementary,SLAUGHTERS,21233,42,True,
COLONEL WILLIAM CASEY ELEMENTARY,ADAIR CO,2012,2013,437,elementary,COLUMBIA,21001,33,False,
JOHN ADAIR INTERMEDIATE SCHOOL,ADAIR CO,2012,2013,366,elementary,COLUMBIA,21001,33,False,
ROUSSEAU ELEMENTARY SCHOOL,BREATHITT CO,2012,2013,99,elementary,ROUSSEAU,21025,42,True,
CARTER ELEMENTARY SCHOOL,CARTER COUNTY,2012,2013,157,elementary,CARTER,21043,42,False,CARTER CITY ELEMENTARY SCHOOL
UPPER TYGART ELEMENTARY SCHOOL,CARTER COUNTY,2012,2013,264,elementary,OLIVE HILL,21043,42,False,
