school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
Lloyd Mcguffey Sixth Grade Center,Lincoln County,2015,2016,286,middle,Stanford,21137,41,False,
Benton Middle School,Marshall County,2015,2016,256,middle,Benton,21157,33,False,
Falcon Academy,Monroe County,2015,2016,17,high,Tompkinsville,21171,43,False,
Allen Central High School,Floyd County,2016,2017,378,high,Eastern,21071,42,False,
McDowell Elementary School,Floyd County,2016,2017,247,elementary,Mc Dowell,21071,42,True,
W.D. Osborne Elementary School,Floyd County,2016,2017,303,elementary,Bevinsville,21071,43,True,
James A. Duff Elementary School,Floyd County,2016,2017,282,elementary,Eastern,21071,42,False,
Allen Central Middle School,Floyd County,2016,2017,326,middle,Eastern,21071,42,False,
Saint Charles Middle School,Marion County,2016,2017,257,middle,Lebanon,21155,42,False,
Chavies Elementary School,Perry County,2016,2017,303,elementary,Chavies,21193,42,True,
A.B. Combs Elementary School,Perry County,2016,2017,304,elementary,Combs,21193,41,True,
Willard Elementary School,Perry County,2016,2017,218,elementary,Busy,21193,41,True,
Blackberry Elementary School,Pike County,2016,2017,100,elementary,Ransom,21195,42,True,
Sebastian Middle School,Breathitt County,2017,2018,286,middle,Jackson,21025,33,False,
Hogsett Elementary School,Danville Independent,2017,2018,356,elementary,Danville,21021,32,False,
Toliver Elementary School,Danville Independent,2017,2018,313,elementary,Danville,21021,32,False,
Jennie Rogers Elementary School,Danville Independent,2017,2018,289,elementary,Danville,21021,32,False,
Montgomery County Intermediate School,Montgomery County,2017,2018,737,middle,Mount Sterling,21173,41,False,
Trimble County Middle School,Trimble County,2017,2018,205,middle,Bedford,21223,42,False,
Trimble County High School,Trimble County,2017,2018,362,high,Bedford,21223,42,False,
Corbin Intermediate,Corbin Independent,2018,2019,216,middle,Corbin,21235,33,False,
McKinney Elementary School,Lincoln County,2018,2019,146,elementary,Hustonville,21137,42,False,
Fort Logan School,Lincoln County,2018,2019,15,high,Stanford,21137,32,False,
Model Laboratory Middle School,Madison County,2018,2019,190,middle,Richmond,21151,32,False,
Hope Hill Childrens Home,Montgomery County,2018,2019,20,high,Hope,21173,42,True,
Frederick Fraize High School,Cloverport Independent,2019,2020,114,high,Cloverport,21027,42,False,
William H Natcher Elementary School,Cloverport Independent,2019,2020,143,elementary,Cloverport,21027,42,False,
Frederick Fraize Middle School,Cloverport Independent,2019,2020,83,middle,Cloverport,21027,42,False,
