ccd_year,school,enrollment,teachers_fte,students_per_teacher
2011,CANE RIDGE ELEMENTARY SCHOOL,440,30,14.67
2011,NORTH MIDDLETOWN ELEMENTARY SCHOOL,167,13,12.85
2011,BOURBON COUNTY HIGH SCHOOL,878,51,17.22
2011,BOURBON COUNTY MIDDLE SCHOOL,613,40,15.32
2011,BOURBON CENTRAL ELEMENTARY SCHOOL,589,36,16.36
2011,BOURBON COUNTY PRESCHOOL HEADSTART,291,9,32.33
2012,CANE RIDGE ELEMENTARY SCHOOL,458,31,14.77
2012,NORTH MIDDLETOWN ELEMENTARY SCHOOL,154,13,11.85
2012,BOURBON COUNTY HIGH SCHOOL,891,49,18.18
2012,BOURBON COUNTY MIDDLE SCHOOL,612,40,15.3
2012,BOURBON CENTRAL ELEMENTARY SCHOOL,569,36,15.81
2012,BOURBON COUNTY PRESCHOOL HEADSTART,295,8,36.88
2013,CANE RIDGE ELEMENTARY SCHOOL,458,30,15.27
2013,NORTH MIDDLETOWN ELEMENTARY SCHOOL,154,11,14.0
2013,BOURBON COUNTY HIGH SCHOOL,867,50,17.34
2013,BOURBON COUNTY MIDDLE SCHOOL,620,40,15.5
2013,BOURBON CENTRAL ELEMENTARY SCHOOL,563,35,16.09
2013,BOURBON COUNTY PRESCHOOL HEADSTART,293,7,41.86
2014,Cane Ridge Elementary School,456,30,15.2
2014,North Middletown Elementary School,155,10,15.5
2014,Bourbon County High School,857,50,17.14
2014,Bourbon County Middle School,581,41,14.17
2014,Bourbon Central Elementary School,593,36,16.47
2014,BOURBON COUNTY PRESCHOOL HEADSTART,270,10,27.0
2015,Cane Ridge Elementary School,474,30,15.8
2015,North Middletown Elementary School,154,10,15.4
2015,Bourbon County High School,887,49,18.1
2015,Bourbon County Middle School,589,41,14.37
2015,Bourbon Central Elementary School,611,37,16.51
2015,Bourbon County Preschool Headstart,245,9,27.22
2016,Cane Ridge Elementary School,494,29,17.03
2016,North Middletown Elementary School,131,10,13.1
2016,Bourbon County High School,843,53,15.91
2016,Bourbon County Middle School,600,41,14.63
2016,Bourbon Central Elementary School,620,38,16.32
2016,Bourbon County Preschool Headstart,243,9,27.0
2017,Cane Ridge Elementary School,495,29,17.07
2017,North Middletown Elementary School,143,9,15.89
2017,Bourbon County High School,814,49,16.61
2017,Bourbon County Middle School,671,41,16.37
2017,Bourbon Central Elementary School,568,35,16.23
2017,Bourbon County Preschool Headstart,248,9,27.56
2018,Cane Ridge Elementary School,479,31,15.45
2018,North Middletown Elementary School,160,10,16.0
2018,Bourbon County High School,806,48,16.79
2018,Bourbon County Middle School,669,40,16.73
2018,Bourbon Central Elementary School,549,35,15.69
2018,Bourbon County Preschool Headstart,223,9,24.78
2019,Cane Ridge Elementary School,484,30,16.13
2019,North Middletown Elementary School,165,10,16.5
2019,Bourbon County High School,841,48,17.52
2019,Bourbon County Middle School,653,39,16.74
2019,Bourbon Central Elementary School,541,33,16.39
2019,Bourbon County Preschool Headstart,281,11,25.55
