source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,All Schools,White (non-Hispanic),Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Climate Index,70.4
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Safety Index,64.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Climate Index,71.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Safety Index,64.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Climate Index,75.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Safety Index,70.0
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Climate Index,70.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Safety Index,63.7
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Climate Index,71.0
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Safety Index,63.9
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Climate Index,70.2
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Safety Index,62.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Climate Index,70.9
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Safety Index,64.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Safety Index,64.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Foster,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Foster,Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,All Schools,Homeless,Climate Index,72.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Homeless,Safety Index,66.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Homeless,Climate Index,70.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Homeless,Safety Index,64.4
KYRC25_ACCT_Index_Scores.csv,All Schools,Migrant,Climate Index,76.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Migrant,Safety Index,70.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Migrant,Climate Index,70.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Migrant,Safety Index,64.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Military,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Military,Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,All Schools,All Students,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,All Schools,All Students,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Female,Climate Index,64.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Female,Safety Index,59.0
