source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non Economically Disadvantaged,Safety Index,72.7
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Students with Disabilities (IEP),Climate Index,81.4
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Students with Disabilities (IEP),Safety Index,78.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Student without Disabilities (IEP),Climate Index,77.1
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Student without Disabilities (IEP),Safety Index,72.2
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,English Learner including Monitored,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,English Learner including Monitored,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,English Learner,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,English Learner,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non English Learner,Climate Index,77.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non English Learner,Safety Index,73.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-English Learner or monitored,Climate Index,77.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-English Learner or monitored,Safety Index,73.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Foster,Climate Index,78.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Foster,Safety Index,73.5
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Homeless,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Homeless,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Homeless,Climate Index,77.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Homeless,Safety Index,73.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Migrant,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Migrant,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Migrant,Climate Index,78.6
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Migrant,Safety Index,73.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Military,Climate Index,78.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non-Military,Safety Index,73.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,All Students,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,All Students,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Female,Climate Index,64.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Female,Safety Index,59.0
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Male,Climate Index,63.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Male,Safety Index,61.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,African American,Climate Index,62.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,African American,Safety Index,59.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Hispanic or Latino,Climate Index,64.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Hispanic or Latino,Safety Index,60.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Two or More Races,Climate Index,57.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Two or More Races,Safety Index,49.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,White (non-Hispanic),Climate Index,64.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,White (non-Hispanic),Safety Index,60.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Economically Disadvantaged,Climate Index,62.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Economically Disadvantaged,Safety Index,59.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non Economically Disadvantaged,Climate Index,66.0
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non Economically Disadvantaged,Safety Index,61.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Students with Disabilities (IEP),Climate Index,65.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Students with Disabilities (IEP),Safety Index,62.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Student without Disabilities (IEP),Climate Index,64.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Student without Disabilities (IEP),Safety Index,60.0
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,English Learner including Monitored,Climate Index,59.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,English Learner including Monitored,Safety Index,59.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,English Learner,Climate Index,59.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,English Learner,Safety Index,59.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non English Learner,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non English Learner,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-English Learner or monitored,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-English Learner or monitored,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Foster,Climate Index,64.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Foster,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Homeless,Climate Index,61.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Homeless,Safety Index,58.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Homeless,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Homeless,Safety Index,60.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Migrant,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Migrant,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Migrant,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Migrant,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Military,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County High School,Non-Military,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,All Students,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,All Students,Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Female,Climate Index,70.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Female,Safety Index,63.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Male,Climate Index,71.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Male,Safety Index,65.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,African American,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,African American,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Hispanic or Latino,Climate Index,71.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Hispanic or Latino,Safety Index,65.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Two or More Races,Climate Index,65.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Two or More Races,Safety Index,59.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,White (non-Hispanic),Climate Index,70.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,White (non-Hispanic),Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Economically Disadvantaged,Climate Index,70.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Economically Disadvantaged,Safety Index,64.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non Economically Disadvantaged,Climate Index,71.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non Economically Disadvantaged,Safety Index,64.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Students with Disabilities (IEP),Climate Index,75.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Students with Disabilities (IEP),Safety Index,70.0
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Student without Disabilities (IEP),Climate Index,70.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Student without Disabilities (IEP),Safety Index,63.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,English Learner including Monitored,Climate Index,71.0
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,English Learner including Monitored,Safety Index,63.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,English Learner,Climate Index,70.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,English Learner,Safety Index,62.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non English Learner,Climate Index,70.9
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non English Learner,Safety Index,64.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-English Learner or monitored,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-English Learner or monitored,Safety Index,64.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Foster,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Foster,Safety Index,64.5
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Homeless,Climate Index,72.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Homeless,Safety Index,66.1
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Homeless,Climate Index,70.7
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Homeless,Safety Index,64.4
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Migrant,Climate Index,76.2
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Migrant,Safety Index,70.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Migrant,Climate Index,70.6
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Migrant,Safety Index,64.3
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Military,Climate Index,70.8
KYRC25_ACCT_Index_Scores.csv,Bourbon County Middle School,Non-Military,Safety Index,64.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH INDICATOR STATUS,42.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS,47.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,OVERALL INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS STATUS,70.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS STATUS RATING,5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,74.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH CHANGE DIFFERENCE,1.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH CHANGE,1.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE DIFFERENCE,-3.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE,-3.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS CHANGE DIFFERENCE,0.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS CHANGE,0.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE DIFFERENCE,1.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE,1.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH COMBINED INDICATOR RATE,44.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,READING_MATH COMBINED INDICATOR RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING COMBINED INDICATOR RATE,44.7
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,SCIENCE_SOCIAL STUDIES_COMBINED WRITING COMBINED INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATE,71.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATING,5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATE,76.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Economically Disadvantaged,OVERALL COMBINED INDICATOR RATE,47.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH INDICATOR STATUS,44.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,OVERALL INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS STATUS,70.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS STATUS RATING,5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,73.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH CHANGE DIFFERENCE,0.0
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH CHANGE RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH CHANGE,0.0
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS CHANGE DIFFERENCE,0.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS CHANGE,0.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE DIFFERENCE,0.7
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE,0.7
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH COMBINED INDICATOR RATE,44.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,READING_MATH COMBINED INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATE,71.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATING,5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATE,74.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,English Learner including Monitored,OVERALL COMBINED INDICATOR RATE,48.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH INDICATOR STATUS,47.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,OVERALL INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS STATUS,68.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS STATUS RATING,5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,74.0
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH CHANGE DIFFERENCE,1.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH CHANGE,1.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS CHANGE DIFFERENCE,-2.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS CHANGE RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS CHANGE,-2.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE DIFFERENCE,0.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE,0.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH COMBINED INDICATOR RATE,48.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,READING_MATH COMBINED INDICATOR RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATE,66.3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATE,74.5
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Hispanic or Latino,OVERALL COMBINED INDICATOR RATE,52.0
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH INDICATOR STATUS,26.7
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH STATUS RATING,1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),OVERALL INDICATOR RATING,1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,77.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH CHANGE DIFFERENCE,4.2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH CHANGE,4.2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE DIFFERENCE,1.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE,1.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH COMBINED INDICATOR RATE,30.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),READING_MATH COMBINED INDICATOR RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATE,78.9
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATING,4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),OVERALL COMBINED INDICATOR RATE,34.4
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),READING_MATH INDICATOR STATUS,53.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),READING_MATH STATUS RATING,2
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS,55.1
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),OVERALL INDICATOR RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,74.8
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,3
KYRC25_ACCT_Summary.csv,Bourbon Central Elementary School,White (non-Hispanic),READING_MATH CHANGE DIFFERENCE,6.3
