district,leaid,closed_for_sy,schools_closed,students_displaced,includes_elementary,town_lost_last_school,new_school_built_within_2yrs,school_names,district_exp_pre,district_enr_pre,district_exp_post3,district_enr_post3,state_median_exp_growth,gap_vs_trend_per_year,gap_per_displaced_student,flag_plausible_magnitude,flag_finance_clean,score_pre,score_post3,score_change_vs_state
Morgan County,2104290,2007,2,242,True,True,True,CANNEL CITY ELEMENTARY SCHOOL; WRIGLEY ELEMENTARY SCHOOL,18934000,2326,18798000,2125,0.1523,3020015,12479,True,True,,,
Muhlenberg County,2100081,2004,2,345,True,True,True,GRAHAM ELEMENTARY SCHOOL; LAKE MALONE ELEMENTARY SCHOOL,34794000,5316,42647000,5174,0.2139,-409109,-1186,True,True,,,
Muhlenberg County,2100081,2005,2,594,True,True,True,DRAKESBORO CONSOLIDATED ELEM SCHOOL; HUGHES KIRK ELEMENTARY SCHOOL,36749000,5376,47305000,5217,0.2574,-1096783,-1846,True,True,,,
Muhlenberg County,2100081,2009,2,1426,False,False,True,MUHLENBERG NORTH HIGH SCHOOL; MUHLENBERG SOUTH HIGH SCHOOL,47305000,5217,52941000,5302,0.0626,-2673740,-1875,True,True,,,
Muhlenberg County,2100081,2013,1,91,False,False,False,MUHLENBERG CAREER HIGH SCHOOL,52941000,5302,45883000,5023,0.0374,9036749,99305,False,True,47.0,53.0,-0.5
Nelson County,2104410,2000,3,379,True,False,False,NEW HAVEN EL; NEW HAVEN MIDDLE; NELSON CO CHOICE CTR,22791000,4579,28427000,4850,0.1769,-1603639,-4231,True,True,,,
Nelson County,2104410,2002,1,28,False,False,True,NEW HORIZONS HIGH SCHOOL,25967000,4265,31290000,4837,0.1875,-453178,-16185,False,True,,,
Nelson County,2104410,2004,2,352,True,True,True,CHAPLIN ELEMENTARY SCHOOL; ELI H BROWN JR ELEMENTARY SCHOOL,28427000,4850,35834000,4726,0.2139,-1325276,-3765,True,True,,,
Oldham County,2104530,2014,1,345,True,False,False,LIBERTY ELEMENTARY SCHOOL,101362000,12066,110895000,12471,0.0667,-2777187,-8050,True,True,63.5,64.5,-0.5
Owen County,2104560,1996,1,11,True,False,False,OWEN CO ALT SCHOOL,,,,,,,,,False,,,
Paducah Independent,2104650,2007,1,208,True,False,False,COOPER WHITESIDE ELEMENTARY SCHOOL,26799000,3406,31937000,2998,0.1523,-1055993,-5077,True,True,,,
Paintsville Independent,2104680,1996,1,129,True,False,False,PAINTSVILLE MID,,,,,,,,,False,,,
Pendleton County,2104740,1997,1,441,True,False,True,PENDLETON CO MID,13000000,2709,14935000,3048,0.1319,-219864,-499,True,True,,,
Perry County,2104770,1995,1,894,True,False,True,M C NAPIER HS,,,,,,,,,False,,,
Perry County,2104770,2009,1,101,True,True,False,LOST CREEK ELEMENTARY SCHOOL,39599000,4351,41212000,4373,0.0626,866707,8581,True,True,,,
Perry County,2104770,2013,2,675,True,True,True,DENNIS C WOOTON ELEMENTARY SCHOOL; BIG CREEK ELEMENTARY SCHOOL,41212000,4373,42356000,4235,0.0374,396360,587,True,True,38.0,49.5,5.0
Perry County,2104770,2017,3,825,True,True,True,Chavies Elementary School; A.B. Combs Elementary School; Willard Elementary School,42356000,4235,44953000,4052,0.1323,3005590,3643,True,True,,,
Perry County,2104770,2023,1,102,True,True,False,Leatherwood Elementary School,,,,,,,,,False,,,
Pike County,2104800,1996,5,893,True,False,True,BRUSHY EL; SOUTH WILLIAMSON EL; SYCAMORE EL; TURKEY CREEK EL; VARNEY EL,,,,,,,,,False,,,
Pike County,2104800,2002,5,1310,True,True,True,ELKHORN CITY HIGH SCHOOL; FEDS CREEK HIGH SCHOOL; GREASY CREEK ELEMENTARY SCHOOL; LOOKOUT ELEMENTARY SCHOOL; MILLARD HIGH SCHOOL,68116000,10457,77131000,10390,0.1875,3759399,2870,True,True,,,
Pike County,2104800,2004,2,373,True,True,True,GRAPEVINE ELEMENTARY SCHOOL; JACKSON ROWE ELEMENTARY SCHOOL,72697000,10625,82271000,9738,0.2139,5978928,16029,False,True,,,
Pike County,2104800,2005,1,205,False,True,True,TURKEY CREEK MIDDLE SCHOOL,72839000,10533,88139000,10033,0.2574,3448807,16823,False,True,,,
Pike County,2104800,2009,1,487,False,False,True,MILLARD MIDDLE SCHOOL,88139000,10033,89001000,9886,0.0626,4657303,9563,True,True,,,
Pike County,2104800,2010,3,871,True,True,True,GEORGE F JOHNSON ELEMENTARY SCHOOL; ROBINSON CREEK ELEMENTARY SCHOOL; VIRGIE MIDDLE SCHOOL,87315000,9977,88648000,9612,0.0515,3167126,3636,True,True,,,
Pike County,2104800,2011,1,161,True,True,False,RUNYON ELEMENTARY SCHOOL,,,,,,,,,False,,,
Pike County,2104800,2014,1,123,True,True,False,MAJESTIC KNOX CREEK ELEMENTARY SCHOOL,88648000,9612,90441000,8826,0.0667,4115420,33459,False,True,46.5,56.0,8.0
Pike County,2104800,2017,1,100,True,True,True,Blackberry Elementary School,91104000,9050,94863000,8492,0.1323,8291673,82917,False,True,,,
Pineville Independent,2104860,2014,2,508,True,False,True,PINEVILLE ELEMENTARY SCHOOL; PINEVILLE HIGH SCHOOL,5355000,557,4662000,545,0.0667,1049913,2067,True,True,39.5,39.5,-1.5
PROVIDENCE INDEPENDENT,2104920,2006,1,267,True,False,True,BROADWAY ELEMENTARY SCHOOL,,,,,,,,,False,,,
Robertson County,2105040,2010,1,176,False,False,False,DEMING HIGH SCHOOL,3826000,403,3847000,358,0.0515,176188,1001,True,True,,,
Rowan County,2105100,2001,1,144,True,True,False,FARMERS EL,19483000,3152,21010000,3113,0.1931,2234558,15518,False,True,,,
Rowan County,2105100,2005,1,422,True,False,True,MOREHEAD ELEMENTARY SCHOOL,21010000,3113,26435000,3286,0.2574,-17012,-40,True,True,,,
Russell County,2105160,1997,1,25,True,False,False,CUMBERLAND ALT SCH,14688000,2789,15336000,2770,0.1319,1289840,51594,False,True,,,
Russell County,2105160,2013,1,149,True,False,False,UNION CHAPEL ELEMENTARY SCHOOL,27663000,2984,28929000,3014,0.0374,-232054,-1557,True,True,45.0,53.0,1.5
Russellville Independent,2105190,2008,1,125,False,False,False,RUSSELLVILLE MIDDLE SCHOOL,9482000,1084,10288000,1108,0.1356,480213,3842,True,True,,,
Shelby County,2105320,2002,1,280,False,False,True,NORTHSIDE ELEMENTARY SCHOOL,28796000,5142,38147000,5755,0.1875,-3950630,-14109,False,True,,,
Somerset Independent,2105430,1999,1,264,True,False,False,MEMORIAL EL,9161000,1663,9316000,1601,0.2045,1718421,6509,True,True,,,
Taylor County,2105520,2003,1,81,True,True,False,MANNSVILLE ELEMENTARY SCHOOL,15610000,2643,19482000,2709,0.2352,-200095,-2470,True,True,,,
Todd County,2105550,1997,1,11,True,False,False,PENNYRILE ACC. LRNG. SCHOOL,9251000,1998,10847000,2099,0.1319,-375483,-34135,False,True,,,
Trimble County,2105610,2018,2,567,False,False,True,Trimble County Middle School; Trimble County High School,12751000,1290,12320000,1122,0.1366,2173414,3833,True,True,,,
Union County,2105640,2013,2,59,False,False,False,EARLE C CLEMENTS VICTORY TECH HS; CLEMENTS VICTORY TECHNICAL HS #2,23136000,2369,23054000,2261,0.0374,946743,16046,False,True,44.5,47.0,-4.0
Warren County,2105730,2011,1,11,False,False,True,BEACON ACADEMY,105041000,13627,114337000,14531,0.0024,-9047650,-822514,False,True,,,
Washington County,2105760,1999,2,458,True,True,True,MACKVILLE EL; WILLISBURG EL,8931000,1770,11230000,1935,0.2045,-472614,-1032,True,True,,,
Washington County,2105760,2007,1,48,False,False,False,CARE ACADEMY INC.,14139000,1977,16280000,1724,0.1523,12644,263,True,True,,,
Washington County,2105760,2009,1,75,True,False,False,FREDERICKTOWN ELEMENTARY SCHOOL,16067000,1786,16399000,1707,0.0626,674123,8988,True,True,,,
Wayne County,2105790,1995,3,268,True,False,True,POWERSBURG EL; ROCKY BRANCH EL; SINKING CONSOLIDATED EL,,,,,,,,,False,,,
Wayne County,2105790,2007,1,381,False,False,True,A J LLOYD MIDDLE SCHOOL,22129000,2734,23687000,2614,0.1523,1812675,4758,True,True,,,
Wayne County,2105790,2012,1,368,False,False,True,TURNER INTERMEDIATE SCHOOL,23841000,2618,32372000,3438,0.0197,-8060874,-21905,False,True,39.5,42.5,-2.5
Webster County,2105820,1997,1,8,True,False,False,WEBSTER CO ALT SCHOOL,10456000,2092,11093000,1987,0.1319,742497,92812,False,True,,,
Webster County,2105820,2012,1,172,True,True,False,SLAUGHTERS ELEMENTARY SCHOOL,19693000,2220,19475000,2301,0.0197,606331,3525,True,True,41.5,45.0,-2.0
West Point Independent,2105850,2020,1,149,True,False,False,West Point Elementary School,,,,,,,,,False,,,
Whitley County,2105880,2007,2,242,True,True,True,NEVISDALE ELEMENTARY SCHOOL; POPLAR CREEK ELEMENTARY SCHOOL,40267000,5005,45563000,4842,0.1523,837444,3461,True,True,,,
Williamsburg Independent,2105910,2014,1,5,False,False,False,WILLIAMSBURG CENTER OF PROGRESSIVE ED,7712000,835,8129000,819,0.0667,97008,19402,False,True,40.5,40.5,-1.5
