district,leaid,closed_for_sy,schools_closed,students_displaced,includes_elementary,town_lost_last_school,new_school_built_within_2yrs,school_names,district_exp_pre,district_enr_pre,district_exp_post3,district_enr_post3,state_median_exp_growth,gap_vs_trend_per_year,gap_per_displaced_student,flag_plausible_magnitude,flag_finance_clean,score_pre,score_post3,score_change_vs_state
Clay County,2101230,2007,1,217,True,False,False,HORSE CREEK ELEMENTARY SCHOOL,35438000,4049,37062000,3599,0.1523,3773894,17391,False,True,,,
Cloverport Independent,2101290,2020,3,340,True,False,True,Frederick Fraize High School; William H Natcher Elementary School; Frederick Fraize Middle School,,,,,,,,,False,,,
Corbin Independent,2101320,2007,1,8,False,False,True,CORBIN EAST SCHOOL,16504000,2334,21036000,2745,0.1523,-2018121,-252265,False,True,,,
Corbin Independent,2101320,2008,2,1162,True,False,True,CENTRAL PRIMARY SCHOOL; SOUTH ELEMENTARY SCHOOL,16872000,2379,21922000,2752,0.1356,-2761350,-2376,True,True,,,
Corbin Independent,2101320,2019,1,216,False,False,True,Corbin Intermediate,,,,,,,,,False,,,
Crittenden County,2101380,1998,2,171,True,False,False,FRANCES EL; TOLU EL,8222000,1569,9109000,1431,0.171,518768,3034,True,True,,,
Danville Independent,2101440,2018,3,958,True,False,True,Hogsett Elementary School; Toliver Elementary School; Jennie Rogers Elementary School,22591000,1924,24622000,1856,0.1366,1056042,1102,True,True,,,
Daviess County,2101470,2004,1,175,True,True,True,PHILPOT ELEMENTARY SCHOOL,77654000,10786,87635000,10881,0.2139,6632437,37900,False,True,,,
Daviess County,2101470,2008,1,251,True,False,True,UTICA ELEMENTARY SCHOOL,87635000,10881,101975000,11310,0.1356,-2452504,-9771,True,True,,,
Dawson Springs Independent,2101500,2007,2,399,False,False,True,DAWSON SPRINGS HIGH SCHOOL; DAWSON SPRINGS MIDDLE SCHOOL,5326000,716,6053000,722,0.1523,84253,211,True,True,,,
Edmonson County,2101620,2013,1,46,False,False,False,EDMONSON COUNTY GREAT ONYX HIGH SCHOOL,18136000,2094,18235000,1959,0.0374,578860,12584,True,True,51.5,58.0,0.0
Elizabethtown Independent,2101650,1997,1,187,True,False,False,VALLEY VIEW ELEM,9290000,2078,11000000,2202,0.1319,-484338,-2590,True,True,,,
Elliott County,2101680,2020,2,260,True,True,True,Isonville Elementary School; Lakeside Elementary School,,,,,,,,,False,,,
Eminence Independent,2101710,1999,1,159,True,False,False,EMINENCE MIDDLE,3052000,532,3589000,547,0.2045,87133,548,True,True,,,
Eminence Independent,2101710,2013,1,55,False,False,False,WHITNEY YOUNG,5840000,658,7390000,755,0.0374,-1331721,-24213,False,True,39.5,45.0,-1.0
Estill County,2101760,1995,1,15,True,False,False,ESTILL CO ALT SCHOOL,,,,,,,,,False,,,
Estill County,2101760,1998,4,872,True,False,True,IRVINE EL; HARGETT EL; RAVENNA EL; ESTILL SPRINGS MID,15125000,2749,15836000,2679,0.171,1875018,2150,True,True,,,
Fayette County,2101860,2003,1,13,True,False,True,BELLEWOOD PRESBYTERIAN HOME ALT SCH,240242000,33799,288726000,35321,0.2352,8027589,617507,False,True,,,
Fayette County,2101860,2006,1,365,True,False,True,ATHENS ELEMENTARY SCHOOL,271837000,35004,336274000,36110,0.2005,-9938660,-27229,False,True,,,
Fayette County,2101860,2008,1,513,True,False,True,LINLEE ELEMENTARY SCHOOL,299892000,34335,392645000,37819,0.1356,-52073308,-101507,False,True,,,
Fleming County,2101920,2023,1,180,True,True,False,E P Ward Elementary School,,,,,,,,,False,,,
Floyd County,2101950,1997,1,74,True,False,True,MAYTOWN EL,43864000,8144,42752000,7258,0.1319,6899132,93232,False,True,,,
Floyd County,2101950,1998,5,943,True,False,True,AUXIER EL; HAROLD EL; MARTIN MIDDLE SCHOOL; MELVIN EL; PRATER EL,42384000,8042,45658000,7237,0.171,3972663,4213,True,True,,,
Floyd County,2101950,2007,1,183,True,False,True,CHARLES CLARK ELEMENTARY SCHOOL,55252000,6819,61417000,6440,0.1523,2250950,12300,True,True,,,
Floyd County,2101950,2013,1,221,False,False,False,SOUTH FLOYD MIDDLE SCHOOL,61430000,6374,61723000,6052,0.0374,2003038,9064,True,True,46.5,64.0,11.0
Floyd County,2101950,2017,5,1536,True,True,True,Allen Central High School; McDowell Elementary School; W.D. Osborne Elementary School; James A. Duff Elementary School; Allen Central Middle School,61723000,6052,68566000,5865,0.1323,1321336,860,True,True,,,
Franklin County,2102010,2004,1,175,True,False,True,BALD KNOB ELEMENTARY SCHOOL,35900000,6025,44440000,5881,0.2139,-859489,-4911,True,True,,,
Fulton County,2102100,2006,1,269,True,False,True,FULTON COUNTY ELEMENTARY SCHOOL,6853000,726,6281000,612,0.2005,1945901,7234,True,True,,,
Fulton Independent,2102070,2007,2,431,True,False,True,CARR ELEMENTARY SCHOOL; FULTON CITY HIGH SCHOOL,4505000,464,5004000,467,0.1523,187199,434,True,True,,,
Glasgow Independent,2102220,2005,2,453,True,False,True,E B TERRY ELEMENTARY SCHOOL; HAPPY VALLEY ELEMENTARY SCHOOL,13539000,2051,16858000,2034,0.2574,165948,366,True,True,,,
Grant County,2102250,2015,1,27,False,False,False,Eagle Creek Academy,32600000,3914,38037000,3775,0.1627,-132068,-4891,True,True,41.5,44.5,0.5
Graves County,2102280,2013,1,11,False,False,False,GENESIS CENTER,39626000,4766,40422000,4532,0.0374,685081,62280,False,True,51.5,59.0,1.0
Graves County,2102280,2014,2,183,True,True,False,CUBA ELEMENTARY SCHOOL; NEW PATHWAYS FOR CHILDREN,39259000,4811,41743000,4411,0.0667,132626,725,True,True,56.0,62.5,5.0
Graves County,2102280,2021,1,239,True,True,False,Lowes Elementary School,,,,,,,,,False,,,
Green County,2102340,2009,3,770,True,True,True,GREENSBURG ELEMENTARY SCHOOL; PIERCE ELEMENTARY SCHOOL; SUMMERSVILLE ELEMENTARY SCHOOL,14387000,1668,16476000,1780,0.0626,-1188080,-1543,True,True,,,
Greenup County,2102400,2000,2,227,True,False,True,LYNN EL; WARNOCK EL,18176000,3444,20721000,3236,0.1769,670839,2955,True,True,,,
Greenup County,2102400,2004,1,181,False,False,False,MCKELL UPPER ELEMENTARY SCHOOL,20721000,3236,25177000,3057,0.2139,-22912,-127,True,True,,,
Hancock County,2102460,2005,2,491,True,False,True,HAWESVILLE ELEMENTARY SCHOOL; LEWISPORT ELEMENTARY SCHOOL,11693000,1623,14280000,1667,0.2574,422786,861,True,True,,,
Hardin County,2102490,1997,2,432,True,False,True,BROWN ST CENTER; COLLEGE ST CENTER,67617000,13367,72735000,13221,0.1319,3802949,8803,True,True,,,
Hardin County,2102490,2001,1,106,True,True,True,WESTERN EL,72735000,13221,87977000,13466,0.1931,-1199147,-11313,True,True,,,
Hardin County,2102490,2003,1,364,True,True,True,LYNNVALE ELEMENTARY SCHOOL,80418000,13288,105002000,14079,0.2352,-5667454,-15570,False,True,,,
Hardin County,2102490,2005,2,384,True,True,True,CREEKSIDE ELEMENTARY SCHOOL-SONORA; CREEKSIDE ELEMENTARY-UPTON CAMPUS,87977000,13466,114444000,13919,0.2574,-3821661,-9952,True,True,,,
Harlan County,2102540,1996,1,69,True,False,False,HOLMES MILL EL,,,,,,,,,False,,,
Harlan County,2102540,2001,3,854,True,True,False,CUMBERLAND MIDDLE; LOYALL EL; VERDA EL,31433000,5425,34903000,5014,0.1931,2598729,3043,True,True,,,
Harlan County,2102540,2008,3,1310,False,False,True,CUMBERLAND HIGH SCHOOL; EVARTS HIGH SCHOOL; JAMES A CAWOOD HIGH SCHOOL,36971000,4491,39947000,4171,0.1356,2039035,1557,True,True,,,
Harlan Independent,2102520,1997,1,272,True,False,False,HARLAN MIDDLE SCHOOL,4864000,920,5388000,894,0.1319,117725,433,True,True,,,
HARRODSBURG INDEPENDENT,2102610,2006,3,855,True,False,False,EVAN HARLOW ELEMENTARY SCHOOL; HARRODSBURG MIDDLE SCHOOL; HARRODSBURG HIGH SCHOOL,,,,,,,,,False,,,
Henderson County,2102710,2012,1,43,False,False,True,HENDERSON COUNTY ACADEMY,64333000,7195,75566000,7573,0.0197,-9964403,-231730,False,True,47.0,58.0,5.5
Hopkins County,2102860,1996,5,1691,True,False,True,CHARLESTON EL; DALTON EL; NEBO EL; SOUTH HOPKINS HS; WEST HOPKINS HS,,,,,,,,,False,,,
Hopkins County,2102860,2023,1,277,True,True,False,Earlington Elementary School,,,,,,,,,False,,,
Jackson Independent,2102910,1996,1,142,True,False,False,JACKSON IND MIDDLE SCH,,,,,,,,,False,,,
Jackson Independent,2102910,1998,2,365,True,False,True,JACKSON EL; JACKSON HS,2029000,252,2514000,482,0.171,-138089,-378,True,True,,,
Jenkins Independent,2103000,1997,2,409,True,False,True,JENKINS MS; JENKINS HS,4754000,764,3963000,547,0.1319,1418212,3468,True,True,,,
Jenkins Independent,2103000,1998,2,250,True,False,True,BURDINE EL; MCROBERTS EL,4486000,680,4082000,528,0.171,1171000,4684,True,True,,,
Jenkins Independent,2103000,2008,1,304,True,True,False,JENKINS ELEMENTARY SCHOOL,5243000,597,5792000,587,0.1356,162201,534,True,True,,,
Johnson County,2103060,2016,1,178,True,True,False,Meade Memorial Elementary School,37827000,3819,39175000,3582,0.1339,3715526,20874,False,True,57.5,55.5,-1.0
Kenton County,2103090,2003,1,138,True,False,False,VISALIA ELEMENTARY SCHOOL,74240000,12515,91762000,13326,0.2352,-58691,-425,True,True,,,
Knott County,2103120,2005,2,262,True,True,False,BECKHAM COMBS ELEMENTARY SCHOOL; CANEY CREEK ELEMENTARY SCHOOL,21740000,3016,23229000,2523,0.2574,4106891,15675,False,True,,,
Knott County,2103120,2008,1,115,False,False,True,CORDIA HIGH SCHOOL,18413000,2501,25272000,2547,0.1356,-4361317,-37924,False,True,,,
Knox County,2103150,2008,2,370,True,True,True,ARTEMUS ELEMENTARY SCHOOL; BOONE ELEMENTARY SCHOOL,42356000,4762,46790000,4720,0.1356,1311498,3545,True,True,,,
Knox County,2103150,2010,1,637,True,False,False,WEST KNOX COUNTY ELEMENTARY SCHOOL,43185000,4837,46278000,4538,0.0515,-867289,-1362,True,True,,,
LaRue County,2103180,1996,1,14,True,False,False,THE LIFE CONNECTION,,,,,,,,,False,,,
LaRue County,2103180,2006,2,412,True,True,True,BUFFALO ELEMENTARY SCHOOL; MAGNOLIA ELEMENTARY SCHOOL,16164000,2445,19588000,2435,0.2005,-183414,-445,True,True,,,
Lawrence County,2103240,2006,1,726,True,False,True,LOUISA ELEMENTARY SCHOOL,19645000,2686,21816000,2457,0.2005,1767463,2435,True,True,,,
Lee County,2103270,2015,1,275,True,False,True,Beattyville Elementary,9720000,1051,9934000,913,0.1627,1367716,4974,True,True,50.0,45.0,-7.5
Lee County,2103270,2016,2,522,False,False,True,Lee County High School; Lee County Middle School,9980000,1029,9812000,934,0.1339,1503924,2881,True,True,52.0,45.5,-5.5
Leslie County,2103330,2003,1,82,True,True,False,BEECH FORK ELEMENTARY SCHOOL,16125000,2403,18533000,2217,0.2352,1385048,16891,False,True,,,
Leslie County,2103330,2007,1,80,True,True,False,BIG CREEK ELEMENTARY SCHOOL,18533000,2217,18993000,1937,0.1523,2362935,29537,False,True,,,
Leslie County,2103330,2013,1,144,False,False,True,LESLIE COUNTY MIDDLE SCHOOL,19840000,1885,18031000,1820,0.0374,2550550,17712,False,True,36.0,49.5,7.0
Letcher County,2103360,1996,1,120,True,False,False,HEMPHILL EL,,,,,,,,,False,,,
Letcher County,2103360,1997,1,14,True,False,False,LETCHER CO ALT SCHOOL,21765000,4391,23617000,3884,0.1319,1019533,72824,False,True,,,
Letcher County,2103360,1998,1,74,True,False,False,CAMPBELLS BRANCH EL,22562000,4302,25795000,3761,0.171,624569,8440,True,True,,,
Letcher County,2103360,2005,3,1010,False,False,True,FLEMING NEON HIGH SCHOOL; LETCHER HIGH SCHOOL; WHITESBURG HIGH SCHOOL,27192000,3774,31950000,3307,0.2574,2241239,2219,True,True,,,
Letcher County,2103360,2007,1,67,True,True,False,KINGDOM COME SETTLEMENT ELEM SCHOOL,30621000,3533,31987000,3292,0.1523,3298171,49226,False,True,,,
Letcher County,2103360,2012,1,225,True,False,True,BECKHAM BATES ELEMENTARY SCHOOL,32867000,3354,32299000,3269,0.0197,1216112,5405,True,True,35.0,48.5,8.0
Letcher County,2103360,2021,1,276,True,False,True,Letcher Elementary School,,,,,,,,,False,,,
