School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP CODE,School Type,Personnel Expenditures State Local Per Student,Non-Personnel Expenditures State Local Per Student,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - State/Local Funds,Total Expenditures Federal Per Student,Total Expenditures Per Student
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,"16,353","4,489","1,163",288,"21,526","1,451","20,280"
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,"16,621","3,780","1,605",431,"21,532","2,036","20,789"
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,"16,508","3,706","1,992",367,"21,806","2,359","24,165"
20242025,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003000000,GRREC,902,A1,"17,376","3,636","1,983",527,"22,754","2,509","22,386"
20242025,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000000,GRREC,902,A1,"8,690","1,846","1,192",688,"10,536","1,880","12,416"
20242025,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000000,GRREC,902,A1,"8,989","1,948","1,763",601,"10,937","2,364","13,301"
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,"9,369","2,858","1,995","1,090","12,227","3,085","15,312"
20242025,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000000,GRREC,902,A1,"8,257","1,838","1,638",603,"10,095","2,248","12,343"
20242025,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210000000000,OVEC,906,A1,"21,300","5,919",158,194,"27,219",352,"30,424"
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,"8,221","2,642",305,126,"10,863",431,"13,390"
20242025,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012000000,CKEC,901,A1,"9,715","1,696",925,86,"11,411","1,011","13,742"
20242025,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000000,CKEC,901,A1,"8,590","1,741",209,63,"10,331",271,"12,724"
20242025,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000000,CKEC,901,A1,"11,961","2,057",713,131,"14,018",844,"16,584"
20242025,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000000,CKEC,901,A1,"12,842","1,804","1,795",106,"14,646","1,900","17,200"
20242025,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012000000,CKEC,901,A1,"14,802","2,845","2,769",724,"17,648","3,493","19,970"
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,"12,307","4,099",334,420,"16,406",754,"19,492"
20242025,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000000,KEDC,903,A1,"10,335","3,047",648,381,"13,382","1,029","16,051"
20242025,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000000,KEDC,903,A1,"10,743","2,779","2,413","2,094","13,522","4,508","19,913"
20242025,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000000,KEDC,903,A1,"8,509","2,626","1,052",459,"11,135","1,512","14,130"
20242025,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000000,KEDC,903,A1,"11,420","2,875","2,436",470,"14,295","2,906","18,684"
20242025,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000000,KEDC,903,A1,"11,812","2,598","1,048","1,215","14,410","2,264","18,157"
20242025,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000000,KEDC,903,A1,"11,965","3,023","1,848",461,"14,988","2,309","19,251"
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,"10,767","5,899",941,"1,352","16,668","2,293","21,100"
20242025,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000000,WKEC,908,A1,"10,056","1,958","1,656","1,367","12,014","3,023","16,587"
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,"12,400","5,908",416,612,"18,307","1,028","27,959"
20242025,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000000,WKEC,908,A1,"8,836","2,806","1,024",605,"11,642","1,629","16,966"
20242025,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024000000,SESC,907,A1,"8,907","2,941","1,068","1,116","11,848","2,184","15,078"
20242025,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000000,CKEC,901,A1,"11,161","1,766",891,65,"12,927",956,"17,897"
20242025,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027000000,CKEC,901,A1,"13,504","1,740",777,66,"15,244",843,"20,186"
20242025,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000000,CKEC,901,A1,"11,694","3,073",33,134,"14,769",167,"18,958"
20242025,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000000,CKEC,901,A1,"11,494","1,915",196,63,"13,409",260,"17,699"
20242025,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000000,GRREC,902,A1,"10,747","3,112",932,328,"14,021","1,257","17,461"
20242025,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030000000,GRREC,902,A1,"10,254","2,949",640,217,"13,372",861,"15,753"
20242025,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000000,GRREC,902,A1,"11,387","3,398",722,178,"14,977",899,"18,371"
20242025,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000000,GRREC,902,A1,"11,052","3,033","1,270",312,"14,250","1,581","17,772"
20242025,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000000,GRREC,902,A1,"10,141","3,077","1,062",147,"13,390","1,211","16,414"
20242025,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000000,GRREC,902,A1,"10,456","3,151","1,762",196,"13,773","1,958","17,691"
20242025,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000000,GRREC,902,A1,"11,343","3,153","2,084",380,"14,665","2,463","18,826"
20242025,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000000,GRREC,902,A1,"10,441","2,465",956,288,"13,074","1,245","14,335"
20242025,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000000,GRREC,902,A1,"10,924","3,240",705,249,"14,332",955,"17,063"
20242025,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033000000,KEDC,903,A1,"9,695","2,574","1,159",147,"12,370","1,306","15,279"
20242025,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033000000,KEDC,903,A1,"9,404","2,575",980,247,"12,104","1,227","14,917"
20242025,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000000,KEDC,903,A1,"8,481","2,467","1,339",335,"11,041","1,674","14,291"
20242025,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000000,KEDC,903,A1,"9,956","3,025",504,130,"13,172",634,"24,481"
20242025,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000000,NKCES,905,A1,"8,292","2,407",401,94,"10,699",495,"11,194"
20242025,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000000,NKCES,905,A1,"8,956","3,084",199,140,"12,040",340,"12,380"
20242025,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039000000,SESC,907,A1,"21,519","10,755","2,125","2,686","32,274","4,811","44,118"
20242025,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039000000,SESC,907,A1,"24,604","9,550","3,160","3,706","44,150","6,866","46,143"
20242025,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,A1,"21,943","10,306","2,691","3,991","32,249","6,682","51,993"
20242025,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000000,SESC,907,A1,"26,421","11,964","2,502","3,037","38,385","5,539","49,314"
20242025,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000000,SESC,907,A1,"21,931","8,638","2,737","3,281","30,569","6,018","43,066"
20242025,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000000,SESC,907,A1,"28,966","12,364","3,252","1,743","41,597","4,995","51,426"
20242025,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000000,SESC,907,A1,"19,986","9,382","2,926","3,473","29,268","6,399","40,939"
20242025,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000000,NKCES,905,A1,"15,745","4,321",667,"3,369","20,073","4,034","30,203"
20242025,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000000,NKCES,905,A1,"17,335","3,714","1,712","2,155","21,054","3,866","59,766"
20242025,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000000,SESC,907,A1,"13,789","2,985","1,086",757,"16,774","1,843","22,274"
20242025,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048000000,SESC,907,A1,"15,241","2,753","1,640",751,"17,995","2,391","24,042"
20242025,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000000,SESC,907,A1,"13,849","3,241","1,052",861,"17,089","1,913","22,659"
20242025,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000000,NKCES,905,A1,"11,372",970,"1,019",925,"12,342","1,944","14,286"
20242025,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051000000,NKCES,905,A1,"10,978",976,395,400,"11,954",795,"12,750"
20242025,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051000000,NKCES,905,A1,"12,710","1,167",673,447,"13,877","1,120","14,997"
20242025,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051000000,NKCES,905,A1,"10,220","1,089",608,474,"11,309","1,082","12,391"
20242025,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051000000,NKCES,905,A1,"10,492","1,186",389,289,"11,678",678,"12,356"
20242025,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051000000,NKCES,905,A1,"10,094",906,498,442,"11,000",941,"11,941"
20242025,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051000000,NKCES,905,A1,"8,859","1,904",373,244,"10,763",617,"11,380"
20242025,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051000000,NKCES,905,A1,"9,452",821,453,382,"10,273",835,"11,108"
